Group,StudInLesson,Day,Les,Aud,Week,Subg,Name,CafI,Subject,Subj_type,Date,Subj_CafID,PrepID,Themas,Substitution_Name,Substitution_PrepID,Substitution_Subject,Substitution_Subj_type,Substitution_Subj_CafID,Lesson_ID,Lesson_Num
ЧИПфд-01-20,0,3,3,1-7,26,0,Кислова М.Е.,15,Операционные системы и среды,л.,2022-02-16,15,180,По теме занятия,,,,,,,
ЧИПфд-01-19,0,3,4,1-7,26,0,Кислова М.Е.,15,Управление и автоматизация баз данных,л.,2022-02-16,15,180,По теме занятия,,,,,,,
ЧИПфд-01-20,0,3,5,1-7,26,0,Кислова М.Е.,15,Операционные системы и среды,л.,2022-02-16,15,180,По теме занятия,,,,,,,
ЧПКфд-02-20,0,3,6,1-7,26,0,Кислова М.Е.,15,Операционные системы,л.,2022-02-16,15,180,По теме занятия,,,,,,,
ЧИПфд-01-18,0,4,1,1-7,26,0,Кислова М.Е.,15,Моделирование и анализ программного обеспечения,л.,2022-02-17,15,180,По теме занятия,,,,,,,
ЧИПфд-01-20,0,4,2,1-7,26,0,Кислова М.Е.,15,Операционные системы и среды,л.,2022-02-17,15,180,По теме занятия,,,,,,,
ЧСАфд-01-20,0,4,3,1-7,26,0,Кислова М.Е.,15,Операционные системы и среды,л.,2022-02-17,15,180,По теме занятия,,,,,,,
ЧИПфд-01-19,0,4,4,1-7,26,0,Кислова М.Е.,15,Управление и автоматизация баз данных,л.,2022-02-17,15,180,По теме занятия,,,,,,,
ЧСАфд-01-20,0,4,5,1-7,26,0,Кислова М.Е.,15,Операционные системы и среды,л.,2022-02-17,15,180,По теме занятия,,,,,,,
ЧСЛфд-01-19,0,4,6,1-7,26,0,Караманян М.И.,15,Основы проектирования объектов садово-паркового строительства,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧРРрд-01-19,0,5,2,1-7,26,0,Макарова К.Б.,15,Психология общения,л.,2022-02-18,15,185,По теме занятия,,,,,,,
ЧИПфд-01-19,0,5,4,1-7,26,0,Чайкина М.Л.,15,Дискретная математика,л.,2022-02-18,15,200,По теме занятия,,,,,,,
ЧСАфд-01-20,0,1,1,1-8,26,0,Чайкина М.Л.,15,Элементы высшей математики,л.,2022-02-14,15,200,По теме занятия,,,,,,,
ЧСАфд-02-21,0,1,2,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-14,15,200,По теме занятия,,,,,,,
ЧПКфд-01-18,0,1,3,1-8,26,0,Чайкина М.Л.,15,Численные методы,л.,2022-02-14,15,200,По теме занятия,,,,,,,
ЧИПфд-02-21,0,1,4,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-14,15,200,По теме занятия,,,,,,,
ЧПКфд-01-19,0,1,5,1-8,26,0,Чайкина М.Л.,15,Элементы математической логики,л.,2022-02-14,15,200,По теме занятия,,,,,,,
ЧИПфд-02-21,0,1,6,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-14,15,200,По теме занятия,,,,,,,
ЧИПфд-01-20,0,2,1,1-8,26,0,Чайкина М.Л.,15,Элементы высшей математики,л.,2022-02-15,15,200,По теме занятия,,,,,,,
ЧСАфд-01-21,0,2,2,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-15,15,200,По теме занятия,,,,,,,
ЧПКфд-01-18,0,2,3,1-8,26,0,Чайкина М.Л.,15,Численные методы,л.,2022-02-15,15,200,По теме занятия,,,,,,,
ЧИПфд-01-21,0,2,4,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-15,15,200,По теме занятия,,,,,,,
ЧСАфд-01-21,0,2,5,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-15,15,200,По теме занятия,,,,,,,
ЧИПфд-01-21,0,2,6,1-8,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-15,15,200,По теме занятия,,,,,,,
ЧСАфд-02-21,0,3,1,1-8,26,0,Каспарян К.И.,15,История,л.,2022-02-16,15,179,По теме занятия,,,,,,,
ЧИПфд-01-20,0,3,2,1-8,26,0,Чайкина М.Л.,15,Прикладное программирование,л.,2022-02-16,15,200,По теме занятия,,,,,,,
ЧСАфд-01-20,0,3,3,1-8,26,0,Чайкина М.Л.,15,Прикладное программирование,л.,2022-02-16,15,200,По теме занятия,,,,,,,
ЧСАфд-01-19,0,3,4,1-8,26,0,Чайкина М.Л.,15,Дискретная математика,л.,2022-02-16,15,200,По теме занятия,,,,,,,
ЧСАфд-01-20,0,3,5,1-8,26,0,Чайкина М.Л.,15,Элементы высшей математики,л.,2022-02-16,15,200,По теме занятия,,,,,,,
ЧСАфд-01-19,0,3,6,1-8,26,0,Чайкина М.Л.,15,Дискретная математика,л.,2022-02-16,15,200,По теме занятия,,,,,,,
ЧСАфд-01-21,0,4,1,1-8,26,0,Каспарян К.И.,15,История,л.,2022-02-17,15,179,По теме занятия,,,,,,,
ЧСАфд-01-20,0,4,2,1-8,26,0,Чайкина М.Л.,15,Прикладное программирование,л.,2022-02-17,15,200,По теме занятия,,,,,,,
ЧИПфд-01-20,0,4,3,1-8,26,0,Чайкина М.Л.,15,Прикладное программирование,л.,2022-02-17,15,200,По теме занятия,,,,,,,
ЧСАфд-01-19,0,4,4,1-8,26,0,Чайкина М.Л.,15,Дискретная математика,л.,2022-02-17,15,200,По теме занятия,,,,,,,
ЧИПфд-01-20,0,4,5,1-8,26,0,Чайкина М.Л.,15,Элементы высшей математики,л.,2022-02-17,15,200,По теме занятия,,,,,,,
ЧИПфд-01-19,0,4,6,1-8,26,0,Чайкина М.Л.,15,Дискретная математика,л.,2022-02-17,15,200,По теме занятия,,,,,,,
ЧИПфд-01-21,0,1,1,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧНПфд-01-21,0,1,2,1-9,26,0,Сигова Е.В.,15,Литература,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧДЗфд-01-21,0,1,2,1-9,26,0,Сигова Е.В.,15,Литература,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧСЛфд-01-20,0,1,3,1-9,26,0,Сигова Е.В.,15,Русский язык и культура речи,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧНПфд-01-21,0,1,4,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧДЗфд-01-21,0,1,4,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧСАфд-02-21,0,1,5,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-14,15,193,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,1,6,1-9,26,0,Цымбалова Ю.С.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-14,15,0,По теме занятия,,,,,,,
ЧИПфд-02-21,0,2,1,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧЭБфд-02-21,0,2,2,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧЭБфд-01-21,0,2,2,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧСЛфд-01-21,0,2,3,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧЭБфд-02-21,0,2,4,1-9,26,0,Сигова Е.В.,15,Литература,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧЭБфд-01-21,0,2,4,1-9,26,0,Сигова Е.В.,15,Литература,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧСЛфд-01-21,0,2,5,1-9,26,0,Сигова Е.В.,15,Литература,л.,2022-02-15,15,193,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,2,6,1-9,26,0,Цымбалова Ю.С.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧСАфд-01-21,0,3,1,1-9,26,0,Сигова Е.В.,15,Русский язык,л.,2022-02-16,15,193,По теме занятия,,,,,,,
ЧНПфд-01-20,0,3,2,1-9,26,0,Сигова Е.В.,15,Русский язык и культура речи,л.,2022-02-16,15,193,По теме занятия,,,,,,,
ЧДЗфд-01-20,0,3,2,1-9,26,0,Сигова Е.В.,15,Русский язык и культура речи,л.,2022-02-16,15,193,По теме занятия,,,,,,,
ЧСЛфд-01-21,0,3,3,1-9,26,0,Сигова Е.В.,15,Литература,л.,2022-02-16,15,193,По теме занятия,,,,,,,
ЧНПфд-01-20,0,3,4,1-9,26,0,Сигова Е.В.,15,Русский язык и культура речи,л.,2022-02-16,15,193,По теме занятия,,,,,,,
ЧДЗфд-01-20,0,3,4,1-9,26,0,Сигова Е.В.,15,Русский язык и культура речи,л.,2022-02-16,15,193,По теме занятия,,,,,,,
ЧЭБфд-02-20,0,3,5,1-9,26,0,Антонова Е.И.,15,Основы менеджмента и маркетинга,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧЭБфд-01-20,0,3,5,1-9,26,0,Антонова Е.И.,15,Основы менеджмента и маркетинга,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧЭБфд-02-20,0,3,6,1-9,26,0,Цымбалова Ю.С.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧЭБфд-01-20,0,3,6,1-9,26,0,Цымбалова Ю.С.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧИПфд-01-20,0,4,1,1-9,26,0,Жук Л.И.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-17,15,169,По теме занятия,,,,,,,
ЧПВфд-01-19,0,4,2,1-9,26,0,Кузнецова О.О.,15,Метрология и стандартизация,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,4,4,1-9,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-17,15,169,По теме занятия,,,,,,,
ЧЭБфд-02-20,0,4,5,1-9,26,0,Антонова Е.И.,15,Основы менеджмента и маркетинга,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧЭБфд-01-20,0,4,5,1-9,26,0,Антонова Е.И.,15,Основы менеджмента и маркетинга,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПВфд-01-19,0,4,6,1-9,26,0,Цымбалова Ю.С.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,1,1,1-11,26,0,Юргина Л.А.,15,Системное программирование,л.,2022-02-14,15,202,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,1,2,1-11,26,0,Юргина Л.А.,15,1С:Бухгалтерия,л.,2022-02-14,15,202,По теме занятия,,,,,,,
ЧДЗфд-01-20,0,1,3,1-11,26,0,Муллакова А.М.,15,Основы проектной и компьютерной графики,л.,2022-02-14,15,0,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,1,4,1-11,26,0,Юргина Л.А.,15,1С:Бухгалтерия,л.,2022-02-14,15,202,По теме занятия,,,,,,,
ЧИПфд-01-19,0,1,5,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-14,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,1,6,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-14,15,0,По теме занятия,,,,,,,
